# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: Ni and Ni
# periodic boundary conditions used (box size: 21.149508 x 21.244854 x 21.163744)
# number of analyzed time frames: 1
#r                  g(r)_id_gas_norm    g(r)_unnonorm       g(r)_unnorm_cumsum  
2.91000             0.00000             0.00000             12.00695            
2.93000             0.00003             0.00001             12.01159            
2.95000             0.00001             0.00000             12.01390            
2.97000             0.00000             0.00000             12.01390            
2.99000             0.00000             0.00000             12.01390            
3.01000             0.00000             0.00000             12.01390            
3.03000             0.00000             0.00000             12.01390            
3.05000             0.00000             0.00000             12.01390            
3.07000             0.00000             0.00000             12.01390            
3.09000             0.00000             0.00000             12.01390            
3.11000             0.00000             0.00000             12.01390            
3.13000             0.00001             0.00000             12.01622            
3.15000             0.00001             0.00000             12.01854            
3.17000             0.00004             0.00001             12.02549            
3.19000             0.00010             0.00002             12.04635            
3.21000             0.00014             0.00003             12.07416            
3.23000             0.00008             0.00002             12.09038            
3.25000             0.00014             0.00003             12.12051            
3.27000             0.00026             0.00006             12.17613            
3.29000             0.00027             0.00007             12.23407            
3.31000             0.00033             0.00008             12.30591            
3.33000             0.00038             0.00010             12.38934            
3.35000             0.00062             0.00016             12.52607            
3.37000             0.00074             0.00019             12.69293            
3.39000             0.00086             0.00023             12.88760            
3.41000             0.00117             0.00031             13.15643            
3.43000             0.00119             0.00032             13.43221            
3.45000             0.00136             0.00037             13.75203            
3.47000             0.00115             0.00032             14.02549            
3.49000             0.00161             0.00045             14.41251            
3.51000             0.00123             0.00035             14.71147            
3.53000             0.00153             0.00043             15.08691            
3.55000             0.00136             0.00039             15.42526            
3.57000             0.00133             0.00039             15.75898            
3.59000             0.00147             0.00043             16.13210            
3.61000             0.00116             0.00035             16.43105            
3.63000             0.00129             0.00039             16.76709            
3.65000             0.00098             0.00030             17.02433            
3.67000             0.00085             0.00026             17.25145            
3.69000             0.00066             0.00020             17.42758            
3.71000             0.00047             0.00015             17.55504            
3.73000             0.00049             0.00016             17.68946            
3.75000             0.00037             0.00012             17.79143            
3.77000             0.00021             0.00007             17.85168            
3.79000             0.00016             0.00005             17.89571            
3.81000             0.00012             0.00004             17.93048            
3.83000             0.00010             0.00003             17.96060            
3.85000             0.00007             0.00002             17.98146            
3.87000             0.00008             0.00003             18.00463            
3.89000             0.00005             0.00002             18.01854            
3.91000             0.00000             0.00000             18.01854            
3.93000             0.00003             0.00001             18.02781            
3.95000             0.00007             0.00002             18.04867            
3.97000             0.00008             0.00003             18.07416            
3.99000             0.00013             0.00005             18.11356            
4.01000             0.00014             0.00005             18.15759            
4.03000             0.00024             0.00009             18.23407            
4.05000             0.00027             0.00010             18.32213            
4.07000             0.00046             0.00017             18.47277            
4.09000             0.00066             0.00025             18.69061            
4.11000             0.00104             0.00040             19.03824            
4.13000             0.00127             0.00049             19.46466            
4.15000             0.00173             0.00068             20.05330            
4.17000             0.00196             0.00078             20.72538            
4.19000             0.00231             0.00093             21.52723            
4.21000             0.00276             0.00112             22.49131            
4.23000             0.00331             0.00135             23.65933            
4.25000             0.00368             0.00152             24.97103            
4.27000             0.00401             0.00167             26.41251            
4.29000             0.00413             0.00174             27.91194            
4.31000             0.00434             0.00184             29.50174            
4.33000             0.00422             0.00181             31.06141            
4.35000             0.00411             0.00178             32.59560            
4.37000             0.00405             0.00176             34.12051            
4.39000             0.00352             0.00155             35.46002            
4.41000             0.00312             0.00138             36.65585            
4.43000             0.00271             0.00122             37.70568            
4.45000             0.00244             0.00111             38.66049            
4.47000             0.00188             0.00086             39.39977            
4.49000             0.00153             0.00070             40.00695            
4.51000             0.00125             0.00058             40.50985            
4.53000             0.00102             0.00048             40.92236            
4.55000             0.00082             0.00039             41.25840            
4.57000             0.00063             0.00030             41.51796            
4.59000             0.00039             0.00019             41.68019            
4.61000             0.00033             0.00016             41.81692            
4.63000             0.00023             0.00011             41.91425            
4.65000             0.00016             0.00008             41.98146            
4.67000             0.00013             0.00006             42.03708            
4.69000             0.00014             0.00007             42.09733            
4.71000             0.00013             0.00006             42.15295            
4.73000             0.00016             0.00008             42.22248            
4.75000             0.00026             0.00013             42.33835            
4.77000             0.00030             0.00016             42.47509            
4.79000             0.00048             0.00025             42.69061            
4.81000             0.00054             0.00029             42.93859            
4.83000             0.00067             0.00036             43.24681            
4.85000             0.00087             0.00047             43.65006            
4.87000             0.00095             0.00051             44.09270            
4.89000             0.00110             0.00060             44.61182            
4.91000             0.00123             0.00068             45.19583            
4.93000             0.00140             0.00078             45.86559            
4.95000             0.00157             0.00088             46.62341            
4.97000             0.00169             0.00095             47.44612            
4.99000             0.00167             0.00095             48.26651            
5.01000             0.00159             0.00091             49.05446            
5.03000             0.00156             0.00090             49.83546            
5.05000             0.00132             0.00077             50.50058            
5.07000             0.00122             0.00072             51.12167            
5.09000             0.00117             0.00069             51.71727            
5.11000             0.00085             0.00051             52.15759            
5.13000             0.00087             0.00052             52.60950            
5.15000             0.00065             0.00039             52.94786            
