# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for all atoms
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  g(r)_id_gas_norm    g(r)_unnonorm       g(r)_unnorm_cumsum  
2.91000             0.00001             0.00000             10.93614            
2.93000             0.00003             0.00001             10.96437            
2.95000             0.00003             0.00001             10.99126            
2.97000             0.00004             0.00001             11.03070            
2.99000             0.00005             0.00001             11.07372            
3.01000             0.00006             0.00001             11.12704            
3.03000             0.00006             0.00001             11.18172            
3.05000             0.00007             0.00002             11.24894            
3.07000             0.00008             0.00002             11.32467            
3.09000             0.00009             0.00002             11.41385            
3.11000             0.00009             0.00002             11.50840            
3.13000             0.00008             0.00002             11.58907            
3.15000             0.00010             0.00002             11.69303            
3.17000             0.00010             0.00002             11.80103            
3.19000             0.00010             0.00002             11.91172            
3.21000             0.00011             0.00003             12.03316            
3.23000             0.00011             0.00003             12.15416            
3.25000             0.00010             0.00002             12.26036            
3.27000             0.00011             0.00003             12.37912            
3.29000             0.00010             0.00003             12.49563            
3.31000             0.00010             0.00002             12.60721            
3.33000             0.00009             0.00002             12.70804            
3.35000             0.00011             0.00003             12.83442            
3.37000             0.00010             0.00003             12.95676            
3.39000             0.00013             0.00004             13.11629            
3.41000             0.00015             0.00004             13.30540            
3.43000             0.00019             0.00005             13.54246            
3.45000             0.00023             0.00006             13.82702            
3.47000             0.00025             0.00007             14.13847            
3.49000             0.00026             0.00008             14.47367            
3.51000             0.00028             0.00008             14.83307            
3.53000             0.00031             0.00009             15.23594            
3.55000             0.00030             0.00009             15.62805            
3.57000             0.00026             0.00008             15.97715            
3.59000             0.00024             0.00007             16.30518            
3.61000             0.00022             0.00007             16.61304            
3.63000             0.00020             0.00006             16.88685            
3.65000             0.00019             0.00006             17.14631            
3.67000             0.00019             0.00006             17.41071            
3.69000             0.00018             0.00006             17.66301            
3.71000             0.00014             0.00005             17.87139            
3.73000             0.00021             0.00007             18.18553            
3.75000             0.00324             0.00107             22.97827            
3.77000             0.00058             0.00019             23.83823            
3.79000             0.00009             0.00003             23.98028            
3.81000             0.00008             0.00003             24.09948            
3.83000             0.00006             0.00002             24.19628            
3.85000             0.00006             0.00002             24.28501            
3.87000             0.00005             0.00002             24.35626            
3.89000             0.00005             0.00002             24.43917            
3.91000             0.00006             0.00002             24.52834            
3.93000             0.00006             0.00002             24.62200            
3.95000             0.00008             0.00003             24.74838            
3.97000             0.00009             0.00003             24.89984            
3.99000             0.00012             0.00005             25.10105            
4.01000             0.00016             0.00006             25.37038            
4.03000             0.00018             0.00007             25.67959            
4.05000             0.00019             0.00007             26.01076            
4.07000             0.00020             0.00008             26.36478            
4.09000             0.00018             0.00007             26.68340            
4.11000             0.00017             0.00007             26.98902            
4.13000             0.00016             0.00006             27.27134            
4.15000             0.00014             0.00006             27.53036            
4.17000             0.00016             0.00006             27.81403            
4.19000             0.00017             0.00007             28.13175            
4.21000             0.00018             0.00008             28.46829            
4.23000             0.00025             0.00010             28.93659            
4.25000             0.00239             0.00102             33.48644            
4.27000             0.00089             0.00038             35.18530            
4.29000             0.00024             0.00010             35.65180            
4.31000             0.00025             0.00011             36.13399            
4.33000             0.00023             0.00010             36.58436            
4.35000             0.00020             0.00009             36.98499            
4.37000             0.00019             0.00009             37.36814            
4.39000             0.00017             0.00008             37.71365            
4.41000             0.00016             0.00007             38.03675            
4.43000             0.00013             0.00006             38.31235            
4.45000             0.00013             0.00006             38.57495            
4.47000             0.00011             0.00005             38.80081            
4.49000             0.00009             0.00004             38.98857            
4.51000             0.00008             0.00004             39.16110            
4.53000             0.00006             0.00003             39.29733            
4.55000             0.00006             0.00003             39.42057            
4.57000             0.00005             0.00003             39.53439            
4.59000             0.00004             0.00002             39.63253            
4.61000             0.00005             0.00002             39.73919            
4.63000             0.00004             0.00002             39.84047            
4.65000             0.00004             0.00002             39.93637            
4.67000             0.00004             0.00002             40.03944            
4.69000             0.00004             0.00002             40.14206            
4.71000             0.00004             0.00002             40.23303            
4.73000             0.00004             0.00002             40.32265            
4.75000             0.00005             0.00003             40.43469            
4.77000             0.00004             0.00002             40.53372            
4.79000             0.00004             0.00002             40.63634            
4.81000             0.00005             0.00003             40.75958            
4.83000             0.00008             0.00004             40.94914            
4.85000             0.00010             0.00005             41.18978            
4.87000             0.00015             0.00008             41.56845            
4.89000             0.00028             0.00016             42.27739            
4.91000             0.00198             0.00112             47.29464            
4.93000             0.00067             0.00038             49.00650            
4.95000             0.00036             0.00021             49.93323            
4.97000             0.00036             0.00021             50.86534            
4.99000             0.00034             0.00020             51.76115            
5.01000             0.00031             0.00018             52.57271            
5.03000             0.00027             0.00016             53.29375            
5.05000             0.00023             0.00014             53.90365            
5.07000             0.00019             0.00012             54.42976            
5.09000             0.00022             0.00014             55.04145            
5.11000             0.00169             0.00104             59.67600            
5.13000             0.00045             0.00028             60.92539            
5.15000             0.00007             0.00005             61.13466            
5.17000             0.00006             0.00004             61.29778            
5.19000             0.00004             0.00003             61.42415            
5.21000             0.00004             0.00003             61.53663            
5.23000             0.00004             0.00003             61.65942            
5.25000             0.00005             0.00003             61.79386            
5.27000             0.00006             0.00004             61.97222            
5.29000             0.00008             0.00006             62.22093            
5.31000             0.00011             0.00007             62.54179            
5.33000             0.00014             0.00009             62.96258            
5.35000             0.00014             0.00010             63.38741            
5.37000             0.00013             0.00009             63.79028            
5.39000             0.00012             0.00008             64.16894            
5.41000             0.00011             0.00007             64.50280            
5.43000             0.00009             0.00006             64.78154            
5.45000             0.00008             0.00006             65.03473            
5.47000             0.00007             0.00005             65.24714            
5.49000             0.00006             0.00004             65.43849            
5.51000             0.00005             0.00004             65.60834            
5.53000             0.00004             0.00003             65.75129            
5.55000             0.00004             0.00003             65.87542            
5.57000             0.00003             0.00003             65.98745            
5.59000             0.00003             0.00003             66.10038            
5.61000             0.00004             0.00003             66.22048            
5.63000             0.00003             0.00002             66.32310            
5.65000             0.00007             0.00005             66.56151            
5.67000             0.00066             0.00050             68.78602            
5.69000             0.00017             0.00013             69.36545            
5.71000             0.00003             0.00002             69.46583            
5.73000             0.00004             0.00003             69.58772            
5.75000             0.00003             0.00002             69.69527            
5.77000             0.00004             0.00003             69.83061            
5.79000             0.00004             0.00003             69.97356            
5.81000             0.00006             0.00005             70.17611            
5.83000             0.00008             0.00006             70.46605            
5.85000             0.00010             0.00008             70.81828            
5.87000             0.00012             0.00010             71.25969            
5.89000             0.00013             0.00011             71.73247            
5.91000             0.00013             0.00011             72.22227            
5.93000             0.00012             0.00010             72.66502            
5.95000             0.00013             0.00011             73.14990            
5.97000             0.00015             0.00013             73.71365            
5.99000             0.00018             0.00015             74.40018            
6.01000             0.00025             0.00021             75.33363            
6.03000             0.00028             0.00024             76.41586            
6.05000             0.00029             0.00025             77.54515            
6.07000             0.00030             0.00026             78.72238            
6.09000             0.00028             0.00024             79.79969            
6.11000             0.00024             0.00021             80.72642            
6.13000             0.00019             0.00017             81.48465            
6.15000             0.00016             0.00014             82.11965            
6.17000             0.00069             0.00062             84.88461            
6.19000             0.00086             0.00077             88.33654            
6.21000             0.00008             0.00007             88.65292            
6.23000             0.00005             0.00005             88.85637            
6.25000             0.00004             0.00004             89.01994            
6.27000             0.00003             0.00003             89.16379            
6.29000             0.00003             0.00003             89.29644            
6.31000             0.00003             0.00003             89.41430            
6.33000             0.00003             0.00003             89.54873            
6.35000             0.00003             0.00003             89.67780            
6.37000             0.00003             0.00003             89.80372            
6.39000             0.00003             0.00003             89.94264            
6.41000             0.00004             0.00004             90.10352            
6.43000             0.00004             0.00004             90.27829            
6.45000             0.00005             0.00005             90.51400            
6.47000             0.00010             0.00010             90.94555            
6.49000             0.00147             0.00146             97.45776            
6.51000             0.00118             0.00118             102.73224           
6.53000             0.00016             0.00016             103.46000           
6.55000             0.00015             0.00015             104.14295           
6.57000             0.00014             0.00014             104.77302           
6.59000             0.00012             0.00012             105.31481           
6.61000             0.00010             0.00010             105.75263           
6.63000             0.00008             0.00008             106.13130           
6.65000             0.00007             0.00007             106.43513           
6.67000             0.00005             0.00005             106.65606           
6.69000             0.00004             0.00004             106.84248           
6.71000             0.00003             0.00004             107.00560           
6.73000             0.00003             0.00004             107.16469           
6.75000             0.00003             0.00003             107.29689           
6.77000             0.00003             0.00003             107.43984           
6.79000             0.00003             0.00003             107.58145           
6.81000             0.00003             0.00003             107.72709           
6.83000             0.00003             0.00003             107.85929           
6.85000             0.00003             0.00003             107.99866           
6.87000             0.00004             0.00005             108.21645           
6.89000             0.00006             0.00007             108.51042           
6.91000             0.00009             0.00010             108.97558           
6.93000             0.00014             0.00016             109.67869           
6.95000             0.00020             0.00022             110.68250           
6.97000             0.00024             0.00027             111.88707           
6.99000             0.00025             0.00029             113.17231           
7.01000             0.00024             0.00028             114.43693           
7.03000             0.00021             0.00024             115.52050           
7.05000             0.00016             0.00019             116.36971           
7.07000             0.00016             0.00019             117.23370           
7.09000             0.00050             0.00059             119.85974           
7.11000             0.00012             0.00015             120.51669           
7.13000             0.00005             0.00005             120.75868           
7.15000             0.00004             0.00005             120.96348           
7.17000             0.00004             0.00004             121.15348           
7.19000             0.00005             0.00007             121.44566           
7.21000             0.00008             0.00010             121.90634           
7.23000             0.00013             0.00016             122.62290           
7.25000             0.00016             0.00020             123.49720           
7.27000             0.00018             0.00022             124.48039           
7.29000             0.00016             0.00021             125.40264           
7.31000             0.00015             0.00018             126.21824           
7.33000             0.00011             0.00015             126.86623           
7.35000             0.00022             0.00028             128.12996           
7.37000             0.00079             0.00102             132.66323           
7.39000             0.00013             0.00016             133.39234           
7.41000             0.00004             0.00005             133.60520           
7.43000             0.00003             0.00004             133.76787           
7.45000             0.00003             0.00003             133.91665           
7.47000             0.00003             0.00003             134.06991           
