  r          G(r)    dr      dG(r)
  1.720     -4.614   0.0     0.3929
  1.730     -4.476   0.0     0.3877
  1.740     -4.313   0.0     0.3828
  1.750     -4.161   0.0     0.3813
  1.760     -4.055   0.0     0.3839
  1.770     -4.021   0.0     0.3891
  1.780     -4.075   0.0     0.3937
  1.790     -4.223   0.0     0.3949
  1.800     -4.455   0.0     0.3922
  1.810     -4.752   0.0     0.3872
  1.820     -5.089   0.0     0.3829
  1.830     -5.432   0.0     0.3819
  1.840     -5.751   0.0     0.3847
  1.850     -6.018   0.0     0.3896
  1.860     -6.214   0.0     0.3934
  1.870     -6.326   0.0     0.3940
  1.880     -6.356   0.0     0.3910
  1.890     -6.313   0.0     0.3864
  1.900     -6.213   0.0     0.3829
  1.910     -6.079   0.0     0.3829
  1.920     -5.935   0.0     0.3862
  1.930     -5.803   0.0     0.3909
  1.940     -5.699   0.0     0.3941
  1.950     -5.633   0.0     0.3939
  1.960     -5.608   0.0     0.3903
  1.970     -5.618   0.0     0.3856
  1.980     -5.651   0.0     0.3825
  1.990     -5.691   0.0     0.3828
  2.000     -5.721   0.0     0.3865
  2.010     -5.729   0.0     0.3911
  2.020     -5.704   0.0     0.3939
  2.030     -5.644   0.0     0.3933
  2.040     -5.553   0.0     0.3898
  2.050     -5.443   0.0     0.3854
  2.060     -5.330   0.0     0.3828
  2.070     -5.233   0.0     0.3837
  2.080     -5.170   0.0     0.3874
  2.090     -5.153   0.0     0.3916
  2.100     -5.190   0.0     0.3937
  2.110     -5.277   0.0     0.3925
  2.120     -5.403   0.0     0.3886
  2.130     -5.548   0.0     0.3844
  2.140     -5.685   0.0     0.3825
  2.150     -5.784   0.0     0.3841
  2.160     -5.819   0.0     0.3883
  2.170     -5.768   0.0     0.3925
  2.180     -5.621   0.0     0.3942
  2.190     -5.377   0.0     0.3926
  2.200     -5.053   0.0     0.3885
  2.210     -4.676   0.0     0.3844
  2.220     -4.286   0.0     0.3827
  2.230     -3.925   0.0     0.3844
  2.240     -3.637   0.0     0.3884
  2.250     -3.460   0.0     0.3923
  2.260     -3.415   0.0     0.3937
  2.270     -3.509   0.0     0.3919
  2.280     -3.723   0.0     0.3879
  2.290     -4.016   0.0     0.3842
  2.300     -4.326   0.0     0.3830
  2.310     -4.573   0.0     0.3850
  2.320     -4.668   0.0     0.3890
  2.330     -4.520   0.0     0.3924
  2.340     -4.050   0.0     0.3934
  2.350     -3.195   0.0     0.3913
  2.360     -1.922   0.0     0.3874
  2.370     -0.235   0.0     0.3842
  2.380      1.827   0.0     0.3835
  2.390      4.185   0.0     0.3859
  2.400      6.728   0.0     0.3897
  2.410      9.318   0.0     0.3927
  2.420     11.802   0.0     0.3930
  2.430     14.025   0.0     0.3904
  2.440     15.845   0.0     0.3864
  2.450     17.144   0.0     0.3834
  2.460     17.837   0.0     0.3833
  2.470     17.887   0.0     0.3861
  2.480     17.300   0.0     0.3902
  2.490     16.130   0.0     0.3932
  2.500     14.471   0.0     0.3933
  2.510     12.452   0.0     0.3905
  2.520     10.217   0.0     0.3865
  2.530      7.919   0.0     0.3836
  2.540      5.705   0.0     0.3836
  2.550      3.697   0.0     0.3863
  2.560      1.990   0.0     0.3902
  2.570      0.638   0.0     0.3928
  2.580     -0.342   0.0     0.3928
  2.590     -0.975   0.0     0.3901
  2.600     -1.314   0.0     0.3865
  2.610     -1.438   0.0     0.3841
  2.620     -1.437   0.0     0.3844
  2.630     -1.400   0.0     0.3871
  2.640     -1.404   0.0     0.3905
  2.650     -1.506   0.0     0.3925
  2.660     -1.732   0.0     0.3919
  2.670     -2.079   0.0     0.3891
  2.680     -2.515   0.0     0.3858
  2.690     -2.983   0.0     0.3840
  2.700     -3.408   0.0     0.3848
  2.710     -3.711   0.0     0.3877
  2.720     -3.817   0.0     0.3909
  2.730     -3.667   0.0     0.3926
  2.740     -3.224   0.0     0.3916
  2.750     -2.484   0.0     0.3888
  2.760     -1.470   0.0     0.3857
  2.770     -0.241   0.0     0.3842
  2.780      1.124   0.0     0.3853
  2.790      2.526   0.0     0.3882
  2.800      3.859   0.0     0.3910
  2.810      5.022   0.0     0.3922
  2.820      5.928   0.0     0.3909
  2.830      6.512   0.0     0.3879
  2.840      6.737   0.0     0.3852
  2.850      6.600   0.0     0.3843
  2.860      6.127   0.0     0.3858
  2.870      5.372   0.0     0.3889
  2.880      4.409   0.0     0.3916
  2.890      3.324   0.0     0.3923
  2.900      2.206   0.0     0.3906
  2.910      1.135   0.0     0.3875
  2.920      0.179   0.0     0.3849
  2.930     -0.615   0.0     0.3843
  2.940     -1.222   0.0     0.3861
  2.950     -1.642   0.0     0.3892
  2.960     -1.895   0.0     0.3916
  2.970     -2.016   0.0     0.3920
  2.980     -2.050   0.0     0.3901
  2.990     -2.045   0.0     0.3872
  3.000     -2.046   0.0     0.3849
  3.010     -2.087   0.0     0.3847
  3.020     -2.192   0.0     0.3867
  3.030     -2.368   0.0     0.3896
  3.040     -2.609   0.0     0.3916
  3.050     -2.896   0.0     0.3916
  3.060     -3.202   0.0     0.3894
  3.070     -3.496   0.0     0.3865
  3.080     -3.749   0.0     0.3845
  3.090     -3.936   0.0     0.3848
  3.100     -4.039   0.0     0.3872
  3.110     -4.054   0.0     0.3902
  3.120     -3.984   0.0     0.3921
  3.130     -3.842   0.0     0.3917
  3.140     -3.650   0.0     0.3894
  3.150     -3.433   0.0     0.3865
  3.160     -3.217   0.0     0.3848
  3.170     -3.024   0.0     0.3853
  3.180     -2.873   0.0     0.3877
  3.190     -2.774   0.0     0.3905
  3.200     -2.732   0.0     0.3920
  3.210     -2.742   0.0     0.3912
  3.220     -2.794   0.0     0.3885
  3.230     -2.875   0.0     0.3856
  3.240     -2.970   0.0     0.3841
  3.250     -3.064   0.0     0.3849
  3.260     -3.145   0.0     0.3877
  3.270     -3.203   0.0     0.3906
  3.280     -3.235   0.0     0.3922
  3.290     -3.240   0.0     0.3915
  3.300     -3.221   0.0     0.3890
  3.310     -3.183   0.0     0.3863
  3.320     -3.133   0.0     0.3850
  3.330     -3.076   0.0     0.3858
  3.340     -3.016   0.0     0.3883
  3.350     -2.956   0.0     0.3907
  3.360     -2.895   0.0     0.3917
  3.370     -2.831   0.0     0.3906
  3.380     -2.759   0.0     0.3880
  3.390     -2.675   0.0     0.3856
  3.400     -2.572   0.0     0.3848
  3.410     -2.445   0.0     0.3860
  3.420     -2.291   0.0     0.3887
  3.430     -2.107   0.0     0.3910
  3.440     -1.891   0.0     0.3918
  3.450     -1.643   0.0     0.3905
  3.460     -1.365   0.0     0.3880
  3.470     -1.059   0.0     0.3857
  3.480     -0.728   0.0     0.3850
  3.490     -0.379   0.0     0.3863
  3.500     -0.017   0.0     0.3887
  3.510      0.351   0.0     0.3907
  3.520      0.714   0.0     0.3912
  3.530      1.062   0.0     0.3898
  3.540      1.385   0.0     0.3875
  3.550      1.671   0.0     0.3857
  3.560      1.911   0.0     0.3856
  3.570      2.099   0.0     0.3872
  3.580      2.233   0.0     0.3896
  3.590      2.318   0.0     0.3913
  3.600      2.365   0.0     0.3912
  3.610      2.394   0.0     0.3895
  3.620      2.429   0.0     0.3870
  3.630      2.502   0.0     0.3854
  3.640      2.645   0.0     0.3855
  3.650      2.889   0.0     0.3873
  3.660      3.259   0.0     0.3896
  3.670      3.772   0.0     0.3911
  3.680      4.431   0.0     0.3908
  3.690      5.224   0.0     0.3890
  3.700      6.123   0.0     0.3868
  3.710      7.082   0.0     0.3855
  3.720      8.046   0.0     0.3860
  3.730      8.947   0.0     0.3879
  3.740      9.716   0.0     0.3901
  3.750     10.288   0.0     0.3912
  3.760     10.604   0.0     0.3905
  3.770     10.625   0.0     0.3885
  3.780     10.330   0.0     0.3863
  3.790      9.722   0.0     0.3854
  3.800      8.824   0.0     0.3863
  3.810      7.685   0.0     0.3885
  3.820      6.367   0.0     0.3906
  3.830      4.946   0.0     0.3915
  3.840      3.498   0.0     0.3905
  3.850      2.099   0.0     0.3882
  3.860      0.814   0.0     0.3860
  3.870     -0.307   0.0     0.3852
  3.880     -1.234   0.0     0.3863
  3.890     -1.956   0.0     0.3886
  3.900     -2.480   0.0     0.3907
  3.910     -2.830   0.0     0.3913
  3.920     -3.038   0.0     0.3901
  3.930     -3.143   0.0     0.3877
  3.940     -3.182   0.0     0.3857
  3.950     -3.188   0.0     0.3852
  3.960     -3.181   0.0     0.3866
  3.970     -3.175   0.0     0.3890
  3.980     -3.168   0.0     0.3910
  3.990     -3.152   0.0     0.3914
  4.000     -3.112   0.0     0.3900
  4.010     -3.031   0.0     0.3877
  4.020     -2.894   0.0     0.3858
  4.030     -2.695   0.0     0.3855
  4.040     -2.432   0.0     0.3869
  4.050     -2.117   0.0     0.3892
  4.060     -1.766   0.0     0.3909
  4.070     -1.403   0.0     0.3910
  4.080     -1.054   0.0     0.3893
  4.090     -0.741   0.0     0.3870
  4.100     -0.478   0.0     0.3854
  4.110     -0.272   0.0     0.3855
  4.120     -0.114   0.0     0.3873
  4.130      0.018   0.0     0.3897
  4.140      0.156   0.0     0.3913
  4.150      0.341   0.0     0.3911
  4.160      0.614   0.0     0.3893
  4.170      1.016   0.0     0.3869
  4.180      1.577   0.0     0.3854
  4.190      2.312   0.0     0.3857
  4.200      3.219   0.0     0.3876
  4.210      4.275   0.0     0.3899
  4.220      5.438   0.0     0.3913
  4.230      6.650   0.0     0.3908
  4.240      7.841   0.0     0.3887
  4.250      8.940   0.0     0.3863
  4.260      9.874   0.0     0.3851
  4.270     10.582   0.0     0.3857
  4.280     11.018   0.0     0.3878
  4.290     11.155   0.0     0.3901
  4.300     10.988   0.0     0.3913
  4.310     10.533   0.0     0.3906
  4.320      9.825   0.0     0.3885
  4.330      8.913   0.0     0.3863
  4.340      7.853   0.0     0.3853
  4.350      6.707   0.0     0.3862
  4.360      5.531   0.0     0.3885
  4.370      4.375   0.0     0.3909
  4.380      3.275   0.0     0.3918
  4.390      2.257   0.0     0.3908
  4.400      1.334   0.0     0.3882
  4.410      0.506   0.0     0.3857
  4.420     -0.233   0.0     0.3846
  4.430     -0.894   0.0     0.3856
  4.440     -1.493   0.0     0.3880
  4.450     -2.039   0.0     0.3905
  4.460     -2.543   0.0     0.3916
  4.470     -3.008   0.0     0.3907
  4.480     -3.436   0.0     0.3885
  4.490     -3.824   0.0     0.3863
  4.500     -4.169   0.0     0.3854
  4.510     -4.468   0.0     0.3863
  4.520     -4.722   0.0     0.3885
  4.530     -4.934   0.0     0.3905
  4.540     -5.110   0.0     0.3912
  4.550     -5.260   0.0     0.3901
  4.560     -5.395   0.0     0.3879
  4.570     -5.527   0.0     0.3859
  4.580     -5.663   0.0     0.3853
  4.590     -5.808   0.0     0.3865
  4.600     -5.961   0.0     0.3888
  4.610     -6.115   0.0     0.3907
  4.620     -6.258   0.0     0.3911
  4.630     -6.378   0.0     0.3898
  4.640     -6.459   0.0     0.3876
  4.650     -6.489   0.0     0.3857
  4.660     -6.462   0.0     0.3854
  4.670     -6.378   0.0     0.3868
  4.680     -6.245   0.0     0.3891
  4.690     -6.081   0.0     0.3909
  4.700     -5.908   0.0     0.3911
  4.710     -5.752   0.0     0.3897
  4.720     -5.638   0.0     0.3875
  4.730     -5.586   0.0     0.3858
  4.740     -5.606   0.0     0.3856
  4.750     -5.696   0.0     0.3871
  4.760     -5.839   0.0     0.3893
  4.770     -6.004   0.0     0.3908
  4.780     -6.147   0.0     0.3909
  4.790     -6.213   0.0     0.3894
  4.800     -6.146   0.0     0.3873
  4.810     -5.891   0.0     0.3859
