# gr.py output, gr.py by Lukasz Cwiklik, cwiklik<at>gmail.com
# radial distribution function for atoms: K and K
# periodic boundary conditions used (box size: 77.9756 x 67.5288 x 9.04)
# number of analyzed time frames: 1
#r                  G(r)_norm           g(r)_unnonorm       g(r)_unnorm_cumsum  
2.79000             -15.16689           0.00000             0.00000             
2.81000             -15.27561           0.00000             0.00000             
2.83000             -15.38433           0.00000             0.00000             
2.85000             -15.49306           0.00000             0.00000             
2.87000             -15.60178           0.00000             0.00000             
2.89000             -15.71050           0.00000             0.00000             
2.91000             -15.81922           0.00000             0.00000             
2.93000             -15.92795           0.00000             0.00000             
2.95000             -16.03667           0.00000             0.00000             
2.97000             -16.14539           0.00000             0.00000             
2.99000             -16.25412           0.00000             0.00000             
3.01000             -16.36284           0.00000             0.00000             
3.03000             -16.47156           0.00000             0.00000             
3.05000             -16.58029           0.00000             0.00000             
3.07000             -16.68901           0.00000             0.00000             
3.09000             -16.79773           0.00000             0.00000             
3.11000             -16.90646           0.00000             0.00000             
3.13000             -17.01518           0.00000             0.00000             
3.15000             -17.12390           0.00000             0.00000             
3.17000             -17.23263           0.00000             0.00000             
3.19000             -17.34135           0.00000             0.00000             
3.21000             -17.45007           0.00000             0.00000             
3.23000             -17.55880           0.00000             0.00000             
3.25000             -17.66752           0.00000             0.00000             
3.27000             -17.77624           0.00000             0.00000             
3.29000             -17.88497           0.00000             0.00000             
3.31000             -17.99369           0.00000             0.00000             
3.33000             -18.10241           0.00000             0.00000             
3.35000             -18.21113           0.00000             0.00000             
3.37000             -18.31986           0.00000             0.00000             
3.39000             -18.42858           0.00000             0.00000             
3.41000             -18.53730           0.00000             0.00000             
3.43000             -18.64603           0.00000             0.00000             
3.45000             -18.75475           0.00000             0.00000             
3.47000             -18.86347           0.00000             0.00000             
3.49000             -14.99805           6.00000             864.00000           
3.51000             -17.76375           2.00000             1152.00000          
3.53000             -12.64113           10.00000            2592.00000          
3.55000             -19.29837           0.00000             2592.00000          
3.57000             -16.81703           4.00000             3168.00000          
3.59000             -18.22800           2.00000             3456.00000          
3.61000             -14.50182           8.00000             4608.00000          
3.63000             -13.36514           10.00000            6048.00000          
3.65000             -16.04205           6.00000             6912.00000          
3.67000             -12.39225           12.00000            8640.00000          
3.69000             -20.05943           0.00000             8640.00000          
3.71000             -16.42967           6.00000             9504.00000          
3.73000             -17.79792           4.00000             10080.00000         
3.75000             -14.22126           10.00000            11520.00000         
3.77000             -16.81534           6.00000             12384.00000         
3.79000             -18.16333           4.00000             12960.00000         
3.81000             -17.07141           6.00000             13824.00000         
3.83000             -18.40626           4.00000             14400.00000         
3.85000             -19.72837           2.00000             14688.00000         
3.87000             -19.84330           2.00000             14976.00000         
3.89000             -17.58117           6.00000             15840.00000         
3.91000             -15.34330           10.00000            17280.00000         
3.93000             -14.30571           12.00000            19008.00000         
3.95000             -16.79106           8.00000             20160.00000         
3.97000             -18.08791           6.00000             21024.00000         
3.99000             -18.21415           6.00000             21888.00000         
4.01000             -14.88141           12.00000            23616.00000         
4.03000             -21.90772           0.00000             23616.00000         
4.05000             -17.45027           8.00000             24768.00000         
4.07000             -22.12517           0.00000             24768.00000         
4.09000             -18.84275           6.00000             25632.00000         
4.11000             -18.96798           6.00000             26496.00000         
4.13000             -17.97361           8.00000             27648.00000         
4.15000             -20.33199           4.00000             28224.00000         
4.17000             -18.23401           8.00000             29376.00000         
4.19000             -20.57071           4.00000             29952.00000         
4.21000             -18.49359           8.00000             31104.00000         
4.23000             -22.99496           0.00000             31104.00000         
4.25000             -20.92803           4.00000             31680.00000         
4.27000             -23.21240           0.00000             31680.00000         
4.29000             -23.32113           0.00000             31680.00000         
4.31000             -21.28449           4.00000             32256.00000         
4.33000             -23.53857           0.00000             32256.00000         
4.35000             -23.64729           0.00000             32256.00000         
4.37000             -23.75602           0.00000             32256.00000         
4.39000             -22.81161           2.00000             32544.00000         
4.41000             -23.97346           0.00000             32544.00000         
4.43000             -24.08219           0.00000             32544.00000         
4.45000             -24.19091           0.00000             32544.00000         
4.47000             -22.23106           4.00000             33120.00000         
4.49000             -24.40836           0.00000             33120.00000         
4.51000             -24.51708           0.00000             33120.00000         
4.53000             -24.62580           0.00000             33120.00000         
4.55000             -23.71843           2.00000             33408.00000         
4.57000             -24.84325           0.00000             33408.00000         
4.59000             -24.95197           0.00000             33408.00000         
4.61000             -25.06070           0.00000             33408.00000         
4.63000             -25.16942           0.00000             33408.00000         
4.65000             -25.27814           0.00000             33408.00000         
4.67000             -24.39688           2.00000             33696.00000         
4.69000             -25.49559           0.00000             33696.00000         
4.71000             -25.60431           0.00000             33696.00000         
4.73000             -24.73560           2.00000             33984.00000         
4.75000             -23.87513           4.00000             34560.00000         
4.77000             -25.93048           0.00000             34560.00000         
4.79000             -26.03920           0.00000             34560.00000         
4.81000             -25.18675           2.00000             34848.00000         
4.83000             -26.25665           0.00000             34848.00000         
4.85000             -26.36537           0.00000             34848.00000         
4.87000             -26.47410           0.00000             34848.00000         
4.89000             -25.63737           2.00000             35136.00000         
4.91000             -26.69154           0.00000             35136.00000         
4.93000             -26.80027           0.00000             35136.00000         
